0.0	9.000000000000001E-4	0.001	5.0E-4	0.0012	8.666666666666665E-8	1.6000000000000006E-7	4.999999999999994E-8	5.668640584452714E-4	0.0012331359415547287
1.0	0.0036000000000000003	0.0033	0.0032	0.0043	2.4666666666666665E-7	1.2500000000000018E-7	4.899999999999995E-7	0.0030379814158865487	0.004162018584113452
2.0	0.14133333333333334	0.1422	0.1384	0.1434	4.542222222222227E-6	8.604444444444503E-6	2.511111111111089E-6	0.13892159807361618	0.1437450685930505
3.0	0.4448666666666667	0.446	0.4342	0.4544	6.864888888888924E-5	1.1377777777777876E-4	4.608444444444448E-5	0.4354907832139717	0.45424255011936165
4.0	0.2961333333333333	0.2947	0.2875	0.3062	5.9308888888889187E-5	3.829444444444431E-5	1.0133777777777893E-4	0.2874185752078782	0.3048480914587884
5.0	0.0939	0.0927	0.0916	0.0974	6.326666666666662E-6	3.3649999999999835E-6	1.2250000000000022E-5	0.09105368526765652	0.09674631473234348
6.0	0.014133333333333333	0.0144	0.0135	0.0145	2.0222222222222238E-7	4.0111111111111064E-7	1.0277777777777827E-7	0.013624459777038356	0.01464220688962831
7.0	0.0031333333333333335	0.0034	0.0025	0.0035	2.0222222222222217E-7	4.011111111111112E-7	1.0277777777777769E-7	0.0026244597770383573	0.0036422068896283097
8.0	0.0014666666666666667	0.0014	9.0E-4	0.0021	2.4222222222222213E-7	1.627777777777778E-7	4.011111111111109E-7	9.097343282002874E-4	0.002023599005133046
9.0	3.6666666666666667E-4	4.0E-4	2.0E-4	5.0E-4	1.5555555555555557E-8	2.7777777777777777E-8	9.444444444444447E-9	2.2553053590133992E-4	5.078027974319934E-4
10.0	6.666666666666667E-5	0.0	0.0	2.0E-4	8.88888888888889E-9	4.444444444444445E-9	1.777777777777778E-8	-4.002221990788954E-5	1.733555532412229E-4
11.0	3.3333333333333335E-5	0.0	0.0	1.0E-4	2.2222222222222225E-9	1.1111111111111113E-9	4.444444444444445E-9	-2.001110995394477E-5	8.667777662061145E-5
12.0	3.3333333333333335E-5	0.0	0.0	1.0E-4	2.2222222222222225E-9	1.1111111111111113E-9	4.444444444444445E-9	-2.001110995394477E-5	8.667777662061145E-5
13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.0	3.3333333333333335E-5	0.0	0.0	1.0E-4	2.2222222222222225E-9	1.1111111111111113E-9	4.444444444444445E-9	-2.001110995394477E-5	8.667777662061145E-5
